# P_qpo=100,mean=100,P_drw=100,Q=80, sigma_noise=1, timerange=1000, length=200
1.549125536346889191e+02 1.109875084908070590e+02 1.000000000000000000e+00 1.000000000000000000e+00
1.598300115606416512e+02 1.197822749195590575e+02 1.000000000000000000e+00 1.000000000000000000e+00
1.646326640329103270e+02 1.144049551334671690e+02 1.000000000000000000e+00 1.000000000000000000e+00
1.696090133390765118e+02 1.181799324765684105e+02 1.000000000000000000e+00 1.000000000000000000e+00
1.746793719546272712e+02 1.294575860194954942e+02 1.000000000000000000e+00 1.000000000000000000e+00
1.797845420890815831e+02 1.134929871551604208e+02 1.000000000000000000e+00 1.000000000000000000e+00
1.846936877162086432e+02 9.842370446780982718e+01 1.000000000000000000e+00 1.000000000000000000e+00
1.899168921277597235e+02 1.037085688186344754e+02 1.000000000000000000e+00 1.000000000000000000e+00
1.947338296153617421e+02 9.385474765760994842e+01 1.000000000000000000e+00 1.000000000000000000e+00
1.994607452999837847e+02 9.414799177703447697e+01 1.000000000000000000e+00 1.000000000000000000e+00
2.043683624508978767e+02 9.213348533748717273e+01 1.000000000000000000e+00 1.000000000000000000e+00
2.093205456651505187e+02 9.669838571007441885e+01 1.000000000000000000e+00 1.000000000000000000e+00
2.142695882861941072e+02 9.497423329695763528e+01 1.000000000000000000e+00 1.000000000000000000e+00
2.192978100260150143e+02 1.018969092146500657e+02 1.000000000000000000e+00 1.000000000000000000e+00
2.242037032660622913e+02 9.776670976413454639e+01 1.000000000000000000e+00 1.000000000000000000e+00
2.294311387583056216e+02 8.267846471417097121e+01 1.000000000000000000e+00 1.000000000000000000e+00
2.343737382926875910e+02 8.339742529789336345e+01 1.000000000000000000e+00 1.000000000000000000e+00
2.394831703797341618e+02 8.467241938077252428e+01 1.000000000000000000e+00 1.000000000000000000e+00
2.447228473559754889e+02 8.797944375859505328e+01 1.000000000000000000e+00 1.000000000000000000e+00
2.497735033141624683e+02 1.194325716809302094e+02 1.000000000000000000e+00 1.000000000000000000e+00
2.545274538308117087e+02 1.211804762192449090e+02 1.000000000000000000e+00 1.000000000000000000e+00
2.593814629256984858e+02 1.244236439516636494e+02 1.000000000000000000e+00 1.000000000000000000e+00
2.645007198188154121e+02 1.236326506735231447e+02 1.000000000000000000e+00 1.000000000000000000e+00
2.697535027192481607e+02 1.198502288358409658e+02 1.000000000000000000e+00 1.000000000000000000e+00
2.745300082141078519e+02 1.114215180005431165e+02 1.000000000000000000e+00 1.000000000000000000e+00
2.795760683768953072e+02 1.144150553810180213e+02 1.000000000000000000e+00 1.000000000000000000e+00
2.841928654368759908e+02 1.162847939915313873e+02 1.000000000000000000e+00 1.000000000000000000e+00
2.891735115992424312e+02 1.146619859107760533e+02 1.000000000000000000e+00 1.000000000000000000e+00
2.946556900937708861e+02 1.107944772889027121e+02 1.000000000000000000e+00 1.000000000000000000e+00
2.993270990889957375e+02 1.029021856595046955e+02 1.000000000000000000e+00 1.000000000000000000e+00
3.045765865781644948e+02 1.006091064691953818e+02 1.000000000000000000e+00 1.000000000000000000e+00
3.099505572635895305e+02 1.029521335870801124e+02 1.000000000000000000e+00 1.000000000000000000e+00
3.147661846094096632e+02 1.090358993916532029e+02 1.000000000000000000e+00 1.000000000000000000e+00
3.199602549450118545e+02 1.086100789579614485e+02 1.000000000000000000e+00 1.000000000000000000e+00
3.251689853712429112e+02 1.114457937812955208e+02 1.000000000000000000e+00 1.000000000000000000e+00
3.306389015319926443e+02 1.022703818134036027e+02 1.000000000000000000e+00 1.000000000000000000e+00
3.359745266211779722e+02 9.369382935305441151e+01 1.000000000000000000e+00 1.000000000000000000e+00
3.405606698312699336e+02 9.774543206125756001e+01 1.000000000000000000e+00 1.000000000000000000e+00
3.454535919017565107e+02 9.755115340893303255e+01 1.000000000000000000e+00 1.000000000000000000e+00
3.505814072600414306e+02 9.140450710916621802e+01 1.000000000000000000e+00 1.000000000000000000e+00
3.553955049064933291e+02 8.755261139526287195e+01 1.000000000000000000e+00 1.000000000000000000e+00
3.600961299763507668e+02 8.604918229074854708e+01 1.000000000000000000e+00 1.000000000000000000e+00
3.648841470280766544e+02 8.882476388918681209e+01 1.000000000000000000e+00 1.000000000000000000e+00
3.697915120917846821e+02 7.788006978830829041e+01 1.000000000000000000e+00 1.000000000000000000e+00
3.747452492687662016e+02 8.926572799098947542e+01 1.000000000000000000e+00 1.000000000000000000e+00
3.797677534551112331e+02 1.046430558210410737e+02 1.000000000000000000e+00 1.000000000000000000e+00
3.845529395280242966e+02 1.079428923834432652e+02 1.000000000000000000e+00 1.000000000000000000e+00
3.897425640280621337e+02 1.184387774876926329e+02 1.000000000000000000e+00 1.000000000000000000e+00
3.950126376564420525e+02 1.107487983771850679e+02 1.000000000000000000e+00 1.000000000000000000e+00
3.999519334746323125e+02 9.928471266313331967e+01 1.000000000000000000e+00 1.000000000000000000e+00
4.047663620127735840e+02 1.007069821156968459e+02 1.000000000000000000e+00 1.000000000000000000e+00
4.095600580601295633e+02 9.966875326997559625e+01 1.000000000000000000e+00 1.000000000000000000e+00
4.144903288989364114e+02 9.831754678457188845e+01 1.000000000000000000e+00 1.000000000000000000e+00
4.194988335283787251e+02 9.824120149660360823e+01 1.000000000000000000e+00 1.000000000000000000e+00
