# P_qpo=100,mean=100,P_drw=100,Q=80, sigma_noise=1, timerange=1000, length=200
1.549125536346889191e+02 8.884615767041624679e+01 1.000000000000000000e+00 1.000000000000000000e+00
1.598300115606416512e+02 9.127606068513512128e+01 1.000000000000000000e+00 1.000000000000000000e+00
1.646326640329103270e+02 8.927227950291241143e+01 1.000000000000000000e+00 1.000000000000000000e+00
1.696090133390765118e+02 9.064597222041193447e+01 1.000000000000000000e+00 1.000000000000000000e+00
1.746793719546272712e+02 9.254267380567948464e+01 1.000000000000000000e+00 1.000000000000000000e+00
1.797845420890815831e+02 9.618033468602826019e+01 1.000000000000000000e+00 1.000000000000000000e+00
1.846936877162086432e+02 1.031592040075049255e+02 1.000000000000000000e+00 1.000000000000000000e+00
1.899168921277597235e+02 1.072707235499110396e+02 1.000000000000000000e+00 1.000000000000000000e+00
1.947338296153617421e+02 1.204128647474266103e+02 1.000000000000000000e+00 1.000000000000000000e+00
1.994607452999837847e+02 1.110244993283492931e+02 1.000000000000000000e+00 1.000000000000000000e+00
2.043683624508978767e+02 1.102576811912156813e+02 1.000000000000000000e+00 1.000000000000000000e+00
2.093205456651505187e+02 9.973805382540919595e+01 1.000000000000000000e+00 1.000000000000000000e+00
2.142695882861941072e+02 9.412455471723235689e+01 1.000000000000000000e+00 1.000000000000000000e+00
2.192978100260150143e+02 8.849124118308210996e+01 1.000000000000000000e+00 1.000000000000000000e+00
2.242037032660622913e+02 9.151608210835080115e+01 1.000000000000000000e+00 1.000000000000000000e+00
2.294311387583056216e+02 9.949546538144089425e+01 1.000000000000000000e+00 1.000000000000000000e+00
2.343737382926875910e+02 1.026619359022637923e+02 1.000000000000000000e+00 1.000000000000000000e+00
2.394831703797341618e+02 1.055810906911410854e+02 1.000000000000000000e+00 1.000000000000000000e+00
2.447228473559754889e+02 1.073575429245150445e+02 1.000000000000000000e+00 1.000000000000000000e+00
2.497735033141624683e+02 9.651419729108718570e+01 1.000000000000000000e+00 1.000000000000000000e+00
2.545274538308117087e+02 8.934375893964096349e+01 1.000000000000000000e+00 1.000000000000000000e+00
2.593814629256984858e+02 1.015934592447544418e+02 1.000000000000000000e+00 1.000000000000000000e+00
2.645007198188154121e+02 1.112521052889951534e+02 1.000000000000000000e+00 1.000000000000000000e+00
2.697535027192481607e+02 1.053948854285857237e+02 1.000000000000000000e+00 1.000000000000000000e+00
2.745300082141078519e+02 1.047597144338147217e+02 1.000000000000000000e+00 1.000000000000000000e+00
2.795760683768953072e+02 9.655149187784321896e+01 1.000000000000000000e+00 1.000000000000000000e+00
2.841928654368759908e+02 1.056586583457111601e+02 1.000000000000000000e+00 1.000000000000000000e+00
2.891735115992424312e+02 1.002788007836516755e+02 1.000000000000000000e+00 1.000000000000000000e+00
2.946556900937708861e+02 1.017962376111648695e+02 1.000000000000000000e+00 1.000000000000000000e+00
2.993270990889957375e+02 1.064100515564760912e+02 1.000000000000000000e+00 1.000000000000000000e+00
3.045765865781644948e+02 1.154968695021644436e+02 1.000000000000000000e+00 1.000000000000000000e+00
3.099505572635895305e+02 1.117641933234734495e+02 1.000000000000000000e+00 1.000000000000000000e+00
3.147661846094096632e+02 1.034949222913525517e+02 1.000000000000000000e+00 1.000000000000000000e+00
3.199602549450118545e+02 9.761586316622688742e+01 1.000000000000000000e+00 1.000000000000000000e+00
3.251689853712429112e+02 1.024665415980516485e+02 1.000000000000000000e+00 1.000000000000000000e+00
3.306389015319926443e+02 1.059025691565613130e+02 1.000000000000000000e+00 1.000000000000000000e+00
3.359745266211779722e+02 1.003021798753728149e+02 1.000000000000000000e+00 1.000000000000000000e+00
3.405606698312699336e+02 9.675793975684401005e+01 1.000000000000000000e+00 1.000000000000000000e+00
3.454535919017565107e+02 9.665107504074408951e+01 1.000000000000000000e+00 1.000000000000000000e+00
3.505814072600414306e+02 9.761841233201627688e+01 1.000000000000000000e+00 1.000000000000000000e+00
3.553955049064933291e+02 8.935279356645453674e+01 1.000000000000000000e+00 1.000000000000000000e+00
3.600961299763507668e+02 8.911333924097833403e+01 1.000000000000000000e+00 1.000000000000000000e+00
3.648841470280766544e+02 8.932530610075653499e+01 1.000000000000000000e+00 1.000000000000000000e+00
3.697915120917846821e+02 8.395676480328545210e+01 1.000000000000000000e+00 1.000000000000000000e+00
3.747452492687662016e+02 9.149267761854765979e+01 1.000000000000000000e+00 1.000000000000000000e+00
3.797677534551112331e+02 9.177310784989761316e+01 1.000000000000000000e+00 1.000000000000000000e+00
3.845529395280242966e+02 9.615306726105981738e+01 1.000000000000000000e+00 1.000000000000000000e+00
3.897425640280621337e+02 1.061099980428979421e+02 1.000000000000000000e+00 1.000000000000000000e+00
3.950126376564420525e+02 1.047801208953030567e+02 1.000000000000000000e+00 1.000000000000000000e+00
3.999519334746323125e+02 8.537918370797279977e+01 1.000000000000000000e+00 1.000000000000000000e+00
4.047663620127735840e+02 8.783111329802800071e+01 1.000000000000000000e+00 1.000000000000000000e+00
4.095600580601295633e+02 8.572066596546274297e+01 1.000000000000000000e+00 1.000000000000000000e+00
4.144903288989364114e+02 8.445554215807264598e+01 1.000000000000000000e+00 1.000000000000000000e+00
4.194988335283787251e+02 8.926992180022543266e+01 1.000000000000000000e+00 1.000000000000000000e+00
4.245058385774947851e+02 8.481506034535497918e+01 1.000000000000000000e+00 1.000000000000000000e+00
4.291650634455984346e+02 8.324805911674917525e+01 1.000000000000000000e+00 1.000000000000000000e+00
4.342036300719166206e+02 8.748488665174153311e+01 1.000000000000000000e+00 1.000000000000000000e+00
4.391724373856408192e+02 1.006777948001559935e+02 1.000000000000000000e+00 1.000000000000000000e+00
4.439062602210108253e+02 9.410790085994233323e+01 1.000000000000000000e+00 1.000000000000000000e+00
4.487078821953495549e+02 9.916251675766255858e+01 1.000000000000000000e+00 1.000000000000000000e+00
4.537376535520312473e+02 1.057998485253919085e+02 1.000000000000000000e+00 1.000000000000000000e+00
4.586487118278150774e+02 1.109465007889649115e+02 1.000000000000000000e+00 1.000000000000000000e+00
4.634159113411245130e+02 9.635104954065936056e+01 1.000000000000000000e+00 1.000000000000000000e+00
4.686632904286242933e+02 8.876046511532446459e+01 1.000000000000000000e+00 1.000000000000000000e+00
4.737456495912568357e+02 9.475415746738948997e+01 1.000000000000000000e+00 1.000000000000000000e+00
4.786741335421968984e+02 1.069438939115282636e+02 1.000000000000000000e+00 1.000000000000000000e+00
4.836190258479010140e+02 1.187660484689095028e+02 1.000000000000000000e+00 1.000000000000000000e+00
4.886964074641757634e+02 1.118926503529079781e+02 1.000000000000000000e+00 1.000000000000000000e+00
4.935496137423803020e+02 1.260362187320392593e+02 1.000000000000000000e+00 1.000000000000000000e+00
4.986162008198140256e+02 1.284132209951033872e+02 1.000000000000000000e+00 1.000000000000000000e+00
5.033797080728925266e+02 1.209478147926755156e+02 1.000000000000000000e+00 1.000000000000000000e+00
5.082301339427046400e+02 1.093795792115867727e+02 1.000000000000000000e+00 1.000000000000000000e+00
5.131473202459844742e+02 1.164242137099074057e+02 1.000000000000000000e+00 1.000000000000000000e+00
5.179971072427539411e+02 1.138641978493668319e+02 1.000000000000000000e+00 1.000000000000000000e+00
5.228129327443335796e+02 9.537345672730350543e+01 1.000000000000000000e+00 1.000000000000000000e+00
5.274140332842747512e+02 1.107873211890738929e+02 1.000000000000000000e+00 1.000000000000000000e+00
5.326078465101351185e+02 1.114641332577456723e+02 1.000000000000000000e+00 1.000000000000000000e+00
5.375197808023683592e+02 1.028947259413976241e+02 1.000000000000000000e+00 1.000000000000000000e+00
5.425060410944288378e+02 9.942322766893013863e+01 1.000000000000000000e+00 1.000000000000000000e+00
5.476390948433738686e+02 9.973343251264468279e+01 1.000000000000000000e+00 1.000000000000000000e+00
5.527810727992147122e+02 1.053566676781479856e+02 1.000000000000000000e+00 1.000000000000000000e+00
5.577211206219423048e+02 1.064852567362357263e+02 1.000000000000000000e+00 1.000000000000000000e+00
5.625922626598145371e+02 9.637807305463596208e+01 1.000000000000000000e+00 1.000000000000000000e+00
5.679111336547899782e+02 1.012344085044135227e+02 1.000000000000000000e+00 1.000000000000000000e+00
5.728880871709486655e+02 1.033906255784485637e+02 1.000000000000000000e+00 1.000000000000000000e+00
5.777031773021691379e+02 1.007080822928126196e+02 1.000000000000000000e+00 1.000000000000000000e+00
5.826662678012886545e+02 1.035473216135794701e+02 1.000000000000000000e+00 1.000000000000000000e+00
5.874890820074497242e+02 1.039954533153665182e+02 1.000000000000000000e+00 1.000000000000000000e+00
5.924895264699000563e+02 1.016732788278700355e+02 1.000000000000000000e+00 1.000000000000000000e+00
5.977475018440292160e+02 1.019814643121345341e+02 1.000000000000000000e+00 1.000000000000000000e+00
6.027602963857652867e+02 1.044033856976830208e+02 1.000000000000000000e+00 1.000000000000000000e+00
6.077958698205344490e+02 1.048525341489731773e+02 1.000000000000000000e+00 1.000000000000000000e+00
6.127801732740358602e+02 1.029683696394997554e+02 1.000000000000000000e+00 1.000000000000000000e+00
6.179136601522126284e+02 1.043913142986130822e+02 1.000000000000000000e+00 1.000000000000000000e+00
6.230745513294705233e+02 1.085027111287692492e+02 1.000000000000000000e+00 1.000000000000000000e+00
6.279691542813338856e+02 1.082074629950125910e+02 1.000000000000000000e+00 1.000000000000000000e+00
6.328242063204746728e+02 1.065016369197312827e+02 1.000000000000000000e+00 1.000000000000000000e+00
6.380970609400449121e+02 1.086371427046441482e+02 1.000000000000000000e+00 1.000000000000000000e+00
6.431754923699993469e+02 1.044289197984456052e+02 1.000000000000000000e+00 1.000000000000000000e+00
6.485974160233697603e+02 1.195540181947869200e+02 1.000000000000000000e+00 1.000000000000000000e+00
6.536584928560012031e+02 1.159302120172446706e+02 1.000000000000000000e+00 1.000000000000000000e+00
6.584205090552861748e+02 1.268261656177964767e+02 1.000000000000000000e+00 1.000000000000000000e+00
6.634070676615269804e+02 1.121575703118654559e+02 1.000000000000000000e+00 1.000000000000000000e+00
6.682069978359845663e+02 1.077502541294676206e+02 1.000000000000000000e+00 1.000000000000000000e+00
6.733036766570673990e+02 9.393213310279206496e+01 1.000000000000000000e+00 1.000000000000000000e+00
6.783544278809173420e+02 9.042885792749162022e+01 1.000000000000000000e+00 1.000000000000000000e+00
6.833512543086162623e+02 9.287798084825061551e+01 1.000000000000000000e+00 1.000000000000000000e+00
6.879310521862713586e+02 1.006092227524593739e+02 1.000000000000000000e+00 1.000000000000000000e+00
6.929354621366056790e+02 9.526639092547704024e+01 1.000000000000000000e+00 1.000000000000000000e+00
6.980590162902601605e+02 1.028280992986478424e+02 1.000000000000000000e+00 1.000000000000000000e+00
7.030412497185568554e+02 1.168090415743294130e+02 1.000000000000000000e+00 1.000000000000000000e+00
7.081188676818716203e+02 1.056131347060552343e+02 1.000000000000000000e+00 1.000000000000000000e+00
7.127449207961986986e+02 1.045945183253247137e+02 1.000000000000000000e+00 1.000000000000000000e+00
7.175909308263643425e+02 1.025465291610407519e+02 1.000000000000000000e+00 1.000000000000000000e+00
7.226699431466064425e+02 1.043232637778212109e+02 1.000000000000000000e+00 1.000000000000000000e+00
7.276598243201161722e+02 1.092784545266458451e+02 1.000000000000000000e+00 1.000000000000000000e+00
7.326720762209794202e+02 1.158851131859027532e+02 1.000000000000000000e+00 1.000000000000000000e+00
7.380298313227635845e+02 1.227133668342646189e+02 1.000000000000000000e+00 1.000000000000000000e+00
7.431084337819173697e+02 1.225188008160541955e+02 1.000000000000000000e+00 1.000000000000000000e+00
7.483143672633231063e+02 9.599681956301358809e+01 1.000000000000000000e+00 1.000000000000000000e+00
7.532004230291129261e+02 9.539668842315434460e+01 1.000000000000000000e+00 1.000000000000000000e+00
7.583290139123421341e+02 8.890451538550543376e+01 1.000000000000000000e+00 1.000000000000000000e+00
7.636517728332605657e+02 9.880496498745428369e+01 1.000000000000000000e+00 1.000000000000000000e+00
7.687038446902238320e+02 9.027518402436990641e+01 1.000000000000000000e+00 1.000000000000000000e+00
7.734789210166827615e+02 1.052427427433170521e+02 1.000000000000000000e+00 1.000000000000000000e+00
7.783499450540543876e+02 9.778648185760887657e+01 1.000000000000000000e+00 1.000000000000000000e+00
7.834912561318158168e+02 9.327733480043110603e+01 1.000000000000000000e+00 1.000000000000000000e+00
7.884834507610099763e+02 1.015701423828775916e+02 1.000000000000000000e+00 1.000000000000000000e+00
7.933419903006341656e+02 9.399553148381113488e+01 1.000000000000000000e+00 1.000000000000000000e+00
7.983323294052567007e+02 9.730731127228388289e+01 1.000000000000000000e+00 1.000000000000000000e+00
